Date,Total Motor Vehicles De-Registered,  Category A: Cars,  Category B: Cars,  Weekend Cars/Off Peak Cars,  Category C: Goods Vehicles & Buses,  Category D: Motorcycles & Scooters,  Taxis,  Vehicles Exempted From VQS
1990 May ,2621,1308,157,na,354,464,262,76
1990 Jun ,2345,1044,174,na,347,494,150,136
1990 Jul ,2286,944,205,na,336,560,134,107
1990 Aug ,2571,1034,211,na,313,784,145,84
1990 Sep ,2253,898,207,na,335,535,152,126
1990 Oct ,2687,1139,161,na,292,770,243,82
1990 Nov ,3198,1822,164,na,356,507,224,125
1990 Dec ,2994,1599,191,na,315,569,174,146
1991 Jan ,2803,1550,208,na,361,424,152,108
1991 Feb ,2080,935,142,na,281,509,130,83
1991 Mar ,2898,1428,239,na,354,642,149,86
1991 Apr ,2737,1121,198,na,391,727,144,156
1991 May ,2597,1050,160,na,359,645,288,95
1991 Jun ,2623,1054,159,na,349,825,142,94
1991 Jul ,3026,1262,227,na,455,801,143,138
1991 Aug ,2424,858,168,2,305,881,119,91
1991 Sep ,2620,1178,143,2,385,670,159,83
1991 Oct ,3393,1546,211,1,468,859,215,93
1991 Nov ,2689,1108,155,10,421,726,142,127
1991 Dec ,2837,1380,196,7,327,679,98,150
1992 Jan ,3234,1431,214,10,414,934,106,125
1992 Feb ,3022,1323,198,12,327,880,198,84
1992 Mar ,4511,1939,355,20,538,1443,136,80
1992 Apr ,16545,6668,1564,225,2621,5352,47,68
1992 May ,6049,2729,596,109,802,1609,150,54
1992 Jun ,2209,1265,139,9,265,371,82,78
1992 Jul ,2482,1534,187,10,278,255,122,96
1992 Aug ,2345,1380,164,5,287,262,192,55
1992 Sep ,2301,1293,199,5,308,363,84,49
1992 Oct ,2275,1261,178,4,274,346,91,121
1992 Nov ,2867,1549,162,10,270,347,76,453
1992 Dec ,2811,1665,229,8,344,308,88,169
1993 Jan ,2050,1172,184,9,256,308,37,84
1993 Feb ,2853,1802,322,17,307,260,77,68
1993 Mar ,3123,1902,324,9,340,370,91,87
1993 Apr ,2934,1668,311,16,329,349,123,138
1993 May ,2782,1663,263,8,278,394,124,52
1993 Jun ,3028,1653,331,14,356,426,156,92
1993 Jul ,2854,1576,290,10,332,374,216,56
1993 Aug ,2285,1260,247,6,323,280,117,52
1993 Sep ,2497,1345,237,16,351,340,169,39
1993 Oct ,2516,1142,234,6,349,425,243,117
1993 Nov ,2478,1205,223,6,415,387,170,72
1993 Dec ,2974,1449,242,11,466,386,104,316
1994 Jan ,1766,750,178,6,354,362,49,67
1994 Feb ,2105,977,179,11,407,393,85,53
1994 Mar ,2701,1452,226,8,511,359,84,61
1994 Apr ,2282,1198,169,8,425,359,78,45
1994 May ,2454,1356,230,10,468,248,89,53
1994 Jun ,2482,1376,226,5,402,308,98,67
1994 Jul ,2284,1080,185,7,437,413,85,77
1994 Aug ,2273,1205,200,9,453,258,66,82
1994 Sep ,2327,1199,184,4,407,396,79,58
1994 Oct ,2156,1047,190,7,386,354,65,107
1994 Nov ,2275,1076,177,5,528,318,92,79
1994 Dec ,2475,1244,236,6,453,318,101,117
1995 Jan ,2516,1236,158,9,444,561,32,76
1995 Feb ,1971,992,157,4,427,295,56,40
1995 Mar ,2136,904,168,9,482,383,80,110
1995 Apr ,2042,867,178,10,425,390,71,101
1995 May ,1811,709,163,5,361,364,98,111
1995 Jun ,1867,791,143,5,380,334,106,108
1995 Jul ,1886,799,152,5,367,351,104,108
1995 Aug ,1345,544,136,4,211,248,99,103
1995 Sep ,1813,673,145,3,407,316,169,100
1995 Oct ,1813,579,160,2,407,410,169,86
1995 Nov ,1764,628,140,2,399,317,203,75
1995 Dec ,2107,766,162,9,631,339,105,95
1996 Jan ,1998,705,181,3,505,362,133,109
1996 Feb ,1447,443,113,3,335,280,185,88
1996 Mar ,2082,513,211,6,619,487,184,62
1996 Apr ,1832,446,196,6,479,551,109,45
1996 May ,1791,508,192,6,490,358,200,37
1996 Jun ,1869,474,167,10,506,365,270,77
1996 Jul ,1932,483,206,7,450,464,236,86
1996 Aug ,1522,471,157,5,404,275,147,63
1996 Sep ,2010,550,198,17,469,487,213,76
1996 Oct ,2061,538,203,8,515,549,171,77
1996 Nov ,1966,584,176,3,451,432,251,69
1996 Dec ,2475,728,216,14,688,465,227,137
1997 Jan ,2151,574,208,8,536,526,196,103
1997 Feb ,1719,485,189,3,343,357,226,116
1997 Mar ,2766,807,263,9,574,679,294,140
1997 Apr ,2670,727,263,12,563,714,298,93
1997 May ,2677,771,271,4,544,630,379,78
1997 Jun ,2668,747,219,8,604,557,361,172
1997 Jul ,3066,924,285,4,564,781,400,108
1997 Aug ,2717,838,244,7,460,651,446,71
1997 Sep ,3036,920,261,7,619,727,414,88
1997 Oct ,2758,991,258,5,641,635,140,88
1997 Nov ,2962,1138,269,3,621,626,224,81
1997 Dec ,3616,1323,319,8,854,720,272,120
1998 Jan ,3434,1375,334,4,898,612,155,56
1998 Feb ,3060,1213,382,4,670,583,160,48
1998 Mar ,4010,1391,495,8,1065,780,244,27
1998 Apr ,4587,1816,546,14,1083,900,205,23
1998 May ,4184,1727,481,8,991,659,227,91
1998 Jun ,4446,1722,608,5,1016,613,314,168
1998 Jul ,4983,2179,682,13,1026,773,217,93
1998 Aug ,4711,2112,653,14,1086,582,183,81
1998 Sep ,4899,2189,644,14,1089,792,121,50
1998 Oct ,5390,2245,746,13,1247,947,121,71
1998 Nov ,4958,2099,937,29,955,691,200,47
1998 Dec ,5553,2479,891,14,1006,816,217,130
1999 Jan ,5005,2244,800,na,1178,511,180,92
1999 Feb ,4116,2045,628,na,643,563,146,91
1999 Mar ,5531,2387,974,na,1039,778,208,145
1999 Apr ,4286,1583,682,na,1122,723,129,47
1999 May ,4097,1227,674,na,1175,824,137,60
1999 Jun ,3890,1254,619,na,1026,784,159,48
1999 Jul ,4636,1563,695,na,1215,962,116,85
1999 Aug ,4709,1890,629,na,1081,807,139,163
1999 Sep ,4597,1989,651,na,1019,701,146,91
1999 Oct ,5083,2044,679,na,1227,932,141,60
